miRNA name	pos:mut	trimmed_NGN2_nc-DMSO_rep3-2_SRR22127395	trimmed_NGN2_Rifaximin_SRR22128590	trimmed_NGN2_Amonafide_SRR22128500	trimmed_NGN2_RG108_SRR22127294	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727	trimmed_NGN2_nc-DMSO_rep3-1_SRR22127396	trimmed_NGN2_AG-14361_SRR22127920	trimmed_NGN2_Raltitrexed_SRR22128614	trimmed_NGN2_nc-DMSO_rep3-4_SRR22127393	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730	trimmed_NGN2_Allopurinol_Sodium_SRR22127951	trimmed_NGN2_nc-DMSO_rep3-6_SRR22127391	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731	trimmed_NGN2_Allopurinol_SRR22127622	trimmed_NGN2_nc-DMSO_rep3-3_SRR22127394	trimmed_NGN2_Rifampin_SRR22127589	trimmed_NGN2_Azaguanine-8_SRR22128107	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728	trimmed_NGN2_nc-DMSO_rep3-7_SRR22128066	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732	trimmed_NGN2_Temozolomide_SRR22127488	trimmed_NGN2_Rifapentine_SRR22127583	trimmed_NGN2_Oxaliplatin_SRR22127814	trimmed_NGN2_Azacitidine_SRR22127969	trimmed_NGN2_Altretamine_SRR22128485	trimmed_NGN2_Adenine_HCl_SRR22127291	trimmed_NGN2_nc-DMSO_rep3-8_SRR22128065	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729	trimmed_NGN2_nc-DMSO_rep3-5_SRR22127392	trimmed_NGN2_nc-DMSO_rep3-2_SRR22127395 (PM+1MM+2MM)	trimmed_NGN2_Rifaximin_SRR22128590 (PM+1MM+2MM)	trimmed_NGN2_Amonafide_SRR22128500 (PM+1MM+2MM)	trimmed_NGN2_RG108_SRR22127294 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-6_SRR22127727 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-1_SRR22127396 (PM+1MM+2MM)	trimmed_NGN2_AG-14361_SRR22127920 (PM+1MM+2MM)	trimmed_NGN2_Raltitrexed_SRR22128614 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-4_SRR22127393 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-3_SRR22127730 (PM+1MM+2MM)	trimmed_NGN2_Allopurinol_Sodium_SRR22127951 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-6_SRR22127391 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-2_SRR22127731 (PM+1MM+2MM)	trimmed_NGN2_Allopurinol_SRR22127622 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-3_SRR22127394 (PM+1MM+2MM)	trimmed_NGN2_Rifampin_SRR22127589 (PM+1MM+2MM)	trimmed_NGN2_Azaguanine-8_SRR22128107 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-5_SRR22127728 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-7_SRR22128066 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-1_SRR22127732 (PM+1MM+2MM)	trimmed_NGN2_Temozolomide_SRR22127488 (PM+1MM+2MM)	trimmed_NGN2_Rifapentine_SRR22127583 (PM+1MM+2MM)	trimmed_NGN2_Oxaliplatin_SRR22127814 (PM+1MM+2MM)	trimmed_NGN2_Azacitidine_SRR22127969 (PM+1MM+2MM)	trimmed_NGN2_Altretamine_SRR22128485 (PM+1MM+2MM)	trimmed_NGN2_Adenine_HCl_SRR22127291 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-8_SRR22128065 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep2-4_SRR22127729 (PM+1MM+2MM)	trimmed_NGN2_nc-DMSO_rep3-5_SRR22127392 (PM+1MM+2MM)
hsa-let-7b-5p	20:GA	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	7.0	2.0	7.0	12.0	0.0	0.0	1.0	1.0	0.0	4.0	2.0	0.0	0.0	10.0	0.0	4.0	3.0	2.0	4.0	4.0	5.0	14.0	0.0	7.0
hsa-let-7b-5p	22:TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	7.0	2.0	7.0	12.0	0.0	0.0	1.0	1.0	0.0	4.0	2.0	0.0	0.0	10.0	0.0	4.0	3.0	2.0	4.0	4.0	5.0	14.0	0.0	7.0
hsa-let-7b-5p	22:TC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	7.0	2.0	7.0	12.0	0.0	0.0	1.0	1.0	0.0	4.0	2.0	0.0	0.0	10.0	0.0	4.0	3.0	2.0	4.0	4.0	5.0	14.0	0.0	7.0
hsa-let-7c-5p	PM	0.0	1.0	0.0	308.0	0.0	0.0	56.0	199.0	0.0	0.0	0.0	1.0	0.0	19.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	314.0	0.0	0.0	56.0	200.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0
hsa-let-7c-5p	13:TC	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	314.0	0.0	0.0	56.0	200.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0
hsa-let-7c-5p	21:TG	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	314.0	0.0	0.0	56.0	200.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0
hsa-let-7c-5p	22:TA	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	314.0	0.0	0.0	56.0	200.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0
hsa-let-7c-5p	22:TC	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	314.0	0.0	0.0	56.0	200.0	0.0	0.0	0.0	1.0	0.0	20.0	0.0	9.0	0.0	0.0	1.0	0.0	0.0	6.0	6.0	12.0	0.0	2.0	0.0	1.0	0.0
hsa-let-7d-5p	PM	0.0	1.0	0.0	5.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	4.0	2.0	0.0	0.0
hsa-let-7d-5p	20:GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	4.0	2.0	0.0	0.0
hsa-let-7e-5p	PM	14.0	197.0	37.0	1011.0	25.0	9.0	316.0	2028.0	14.0	7.0	73.0	51.0	1.0	544.0	18.0	230.0	2.0	18.0	55.0	1.0	421.0	446.0	443.0	773.0	358.0	797.0	149.0	7.0	32.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	5:GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	6:TC	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	7:AG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	7:AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	8:GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	10:AG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	10:AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	11:GA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	12:GT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	13:TC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	14:TC	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	16:TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	16:TC	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	17:AG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	17:AT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	18:TA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	18:TG	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	21:TC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
hsa-let-7e-5p	21:TG	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	198.0	38.0	1041.0	26.0	9.0	322.0	2079.0	14.0	7.0	75.0	51.0	1.0	555.0	18.0	233.0	2.0	18.0	60.0	1.0	429.0	450.0	458.0	793.0	364.0	812.0	156.0	7.0	32.0
